Máquina: CLASSIC_SLOTS_1, Probabilidade de Ganhar: 12%.
Máquina: CLASSIC_SLOTS_2, Probabilidade de Ganhar: 8%.
Máquina: CLASSIC_SLOTS_3, Probabilidade de Ganhar: 15%.
Máquina: CLASSIC_SLOTS_4, Probabilidade de Ganhar: 5%.
Máquina: CLASSIC_SLOTS_5, Probabilidade de Ganhar: 11%.
Máquina: CLASSIC_SLOTS_6, Probabilidade de Ganhar: 5%.
Máquina: BLACKJACK_1, Probabilidade de Ganhar: 20%.
Máquina: BLACKJACK_2, Probabilidade de Ganhar: 14%.
Máquina: BLACKJACK_3, Probabilidade de Ganhar: 12%.
Máquina: BLACKJACK_4, Probabilidade de Ganhar: 15%.
Máquina: BLACKJACK_4, Probabilidade de Ganhar: 10%.
Máquina: ROLETA_1, Probabilidade de Ganhar: 4%.
Máquina: ROLETA_2, Probabilidade de Ganhar: 8%.
Máquina: ROLETA_3, Probabilidade de Ganhar: 25%.
Máquina: ROLETA_4, Probabilidade de Ganhar: 14%.
Máquina: VARIANTES_POKER_1, Probabilidade de Ganhar: 5%.
Máquina: VARIANTES_POKER_2, Probabilidade de Ganhar: 10%.
Máquina: VARIANTES_POKER_3, Probabilidade de Ganhar: 12%.
Máquina: VARIANTES_POKER_4, Probabilidade de Ganhar: 15%.
